"Date","Price","Open","High","Low","Change %"
"Nov 13, 2013","1.3487","1.3436","1.3497","1.3392","0.38"
"Nov 14, 2013","1.3459","1.3489","1.3499","1.3419","-0.21"
"Nov 15, 2013","1.3495","1.3458","1.3506","1.3432","0.27"
"Nov 18, 2013","1.3505","1.3502","1.3543","1.3475","0.07"
"Nov 19, 2013","1.3539","1.3505","1.3549","1.3488","0.25"
"Nov 20, 2013","1.3439","1.3539","1.3579","1.3417","-0.74"
"Nov 21, 2013","1.3482","1.3440","1.3487","1.3399","0.32"
"Nov 22, 2013","1.3558","1.3482","1.3558","1.3462","0.56"
"Nov 25, 2013","1.3516","1.3550","1.3561","1.3491","-0.31"
"Nov 26, 2013","1.3572","1.3517","1.3575","1.3514","0.41"
"Nov 27, 2013","1.3579","1.3571","1.3613","1.3557","0.05"
"Nov 28, 2013","1.3605","1.3580","1.3619","1.3563","0.19"
"Nov 29, 2013","1.3590","1.3605","1.3622","1.3579","-0.11"
"Dec 02, 2013","1.3542","1.3590","1.3617","1.3525","-0.35"
"Dec 03, 2013","1.3590","1.3540","1.3613","1.3523","0.35"
"Dec 04, 2013","1.3594","1.3589","1.3605","1.3528","0.03"
"Dec 05, 2013","1.3668","1.3594","1.3678","1.3542","0.54"
"Dec 06, 2013","1.3706","1.3668","1.3708","1.3630","0.28"
"Dec 09, 2013","1.3739","1.3720","1.3747","1.3694","0.24"
"Dec 10, 2013","1.3761","1.3738","1.3797","1.3733","0.16"
"Dec 11, 2013","1.3786","1.3760","1.3811","1.3739","0.18"
"Dec 12, 2013","1.3755","1.3787","1.3804","1.3736","-0.22"
"Dec 13, 2013","1.3743","1.3755","1.3771","1.3710","-0.09"
"Dec 16, 2013","1.3761","1.3740","1.3799","1.3724","0.13"
"Dec 17, 2013","1.3768","1.3762","1.3784","1.3724","0.05"
"Dec 18, 2013","1.3685","1.3770","1.3813","1.3675","-0.60"
"Dec 19, 2013","1.3663","1.3685","1.3695","1.3649","-0.16"
"Dec 20, 2013","1.3672","1.3662","1.3710","1.3624","0.07"
"Dec 23, 2013","1.3696","1.3670","1.3717","1.3666","0.18"
"Dec 24, 2013","1.3684","1.3697","1.3704","1.3655","-0.09"
"Dec 25, 2013","1.3680","1.3684","1.3710","1.3661","-0.03"
"Dec 26, 2013","1.3691","1.3679","1.3702","1.3662","0.08"
"Dec 27, 2013","1.3742","1.3692","1.3893","1.3686","0.37"
"Dec 30, 2013","1.3805","1.3744","1.3821","1.3729","0.46"
"Dec 31, 2013","1.3746","1.3803","1.3813","1.3742","-0.43"
"Jan 01, 2014","1.3754","1.3742","1.3769","1.3742","0.06"
"Jan 02, 2014","1.3672","1.3756","1.3777","1.3630","-0.60"
